PaperID,First Author,Year,Journal,Design,NumCitations,NumCitationsPerYear,TaskLength,Interval,nSubjects,TaskType,Task ,Healthy,ThrICC,ROIType,SummaryICC,Cortical,ICC,ICCse,p
Schacht2011,Schacht,2011,NeuroImage,b,50,6.3,12,14,10,Reward,Alcohol cue reactivity ,h,0,sf,0,S,0.752,,0.006
Schacht2011,Schacht,2011,NeuroImage,b,50,6.3,12,14,10,Reward,Alcohol cue reactivity ,h,0,sf,0,S,0.809,,0.002
Schacht2011,Schacht,2011,NeuroImage,b,50,6.3,12,14,10,Reward,Alcohol cue reactivity ,h,0,sf,0,S,0.484,,0.078
Schacht2011,Schacht,2011,NeuroImage,b,50,6.3,12,14,10,Reward,Alcohol cue reactivity ,h,0,sf,0,S,0.202,,0.288
Schacht2011,Schacht,2011,NeuroImage,b,50,6.3,12,14,10,Reward,Alcohol cue reactivity ,h,0,sf,0,S,0.758,,0.006
Schacht2011,Schacht,2011,NeuroImage,b,50,6.3,12,14,10,Reward,Alcohol cue reactivity ,h,0,sf,0,S,0.328,,0.177
Caceres2009,Caceres,2009,NeuroImage,b,182,18.2,12,90,10,Sensory,Auditory target detection,h,0,f,1,C,0.2,,
Caceres2009,Caceres,2009,NeuroImage,b,182,18.2,12,90,10,Sensory,Auditory target detection,h,0,f,1,C,0.55,,
Schunck2008,Schunck,2008,Journal of Magnetic Resonance Imaging,b,34,3.1,11,10,14,Pain,Aversive nerve stimulations,h,0,f,0,C,0.33,,
Schunck2008,Schunck,2008,Journal of Magnetic Resonance Imaging,b,34,3.1,11,10,14,Pain,Aversive nerve stimulations,h,0,f,0,C,0.54,,
Schunck2008,Schunck,2008,Journal of Magnetic Resonance Imaging,b,34,3.1,11,10,14,Pain,Aversive nerve stimulations,h,0,f,0,C,0.66,,
Schunck2008,Schunck,2008,Journal of Magnetic Resonance Imaging,b,34,3.1,11,10,14,Pain,Aversive nerve stimulations,h,0,f,0,C,-0.06,,
