Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
180,"AR Aron, MA Gluck, RA Poldrack",Long-term test–retest reliability of functional MRI in a classification learning task,2006,Neuroimage,Elsevier,https://www.sciencedirect.com/science/article/pii/S1053811905005987,"https://scholar.google.com/scholar?cites=10394206632108001351&as_sdt=5,34&sciodt=0,34&hl=en",1,4/12/19,HTML,,,,,,,,180,13.85,60,3,13
118,"M Raemaekers, M Vink, B Zandbelt, RJA Van Wezel…",Test–retest reliability of fMRI activation during prosaccades and antisaccades,2007,Neuroimage,Elsevier,https://www.sciencedirect.com/science/article/pii/S1053811907002157,"https://scholar.google.com/scholar?cites=5067775149405832370&as_sdt=5,34&sciodt=0,34&hl=en",2,4/12/19,HTML,,,,,,,,118,9.83,24,5,12
34,"DJ Brandt, J Sommer, S Krach, J Bedenbender…",Test-retest reliability of fMRI brain activity during memory encoding,2013,Frontiers in …,frontiersin.org,https://www.frontiersin.org/articles/10.3389/fpsyt.2013.00163,"https://scholar.google.com/scholar?cites=4158198385203046092&as_sdt=5,34&sciodt=0,34&hl=en",3,4/12/19,HTML,,,,,,,,34,5.67,7,5,6
169,"CC Guo, F Kurth, J Zhou, EA Mayer, SB Eickhoff…",One-year test–retest reliability of intrinsic connectivity network fMRI in older adults,2012,Neuroimage,Elsevier,https://www.sciencedirect.com/science/article/pii/S105381191200300X,"https://scholar.google.com/scholar?cites=4967231750223000404&as_sdt=5,34&sciodt=0,34&hl=en",4,4/12/19,HTML,,,,,,,,169,24.14,28,6,7
166,"MM Plichta, AJ Schwarz, O Grimm, K Morgen, D Mier…",Test–retest reliability of evoked BOLD signals from a cognitive–emotive fMRI test battery,2012,Neuroimage,Elsevier,https://www.sciencedirect.com/science/article/pii/S1053811912001565,"https://scholar.google.com/scholar?cites=4441185425486997980&as_sdt=5,34&sciodt=0,34&hl=en",5,4/12/19,HTML,,,,,,,,166,23.71,28,6,7
230,"JH Wang, XN Zuo, S Gohel, MP Milham, BB Biswal…",Graph theoretical analysis of functional brain networks: test-retest evaluation on short-and long-term resting-state functional MRI data,2011,PloS one,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0021976,"https://scholar.google.com/scholar?cites=6259295098764272960&as_sdt=5,34&sciodt=0,34&hl=en",6,4/12/19,HTML,,,,,,,,230,28.75,38,6,8
14,"J Upadhyay, J Lemme, J Anderson, D Bleakman…",Test–retest reliability of evoked heat stimulation BOLD fMRI,2015,Journal of neuroscience …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0165027015002186,"https://scholar.google.com/scholar?cites=13049764035350682762&as_sdt=5,34&sciodt=0,34&hl=en",7,4/12/19,HTML,,,,,,,,14,3.5,3,5,4
29,"S Frässle, KE Stephan, KJ Friston, M Steup, S Krach…",Test-retest reliability of dynamic causal modeling for fMRI,2015,Neuroimage,Elsevier,https://www.sciencedirect.com/science/article/pii/S105381191500422X,"https://scholar.google.com/scholar?cites=11844933313789596137&as_sdt=5,34&sciodt=0,34&hl=en",8,4/12/19,HTML,,,,,,,,29,7.25,5,6,4
162,"J Kong, RL Gollub, JM Webb, JT Kong, MG Vangel…",Test–retest study of fMRI signal change evoked by electroacupuncture stimulation,2007,Neuroimage,Elsevier,https://www.sciencedirect.com/science/article/pii/S1053811906010688,"https://scholar.google.com/scholar?cites=12635050516671325107&as_sdt=5,34&sciodt=0,34&hl=en",9,4/12/19,HTML,,,,,,,,162,13.5,27,6,12
15,"JE Letzen, LS Sevel, CW Gay, AM O'Shea, JG Craggs…",Test-retest reliability of pain-related brain activity in healthy controls undergoing experimental thermal pain,2014,The Journal of …,Elsevier,https://www.sciencedirect.com/science/article/pii/S1526590014007949,"https://scholar.google.com/scholar?cites=4405245133535255280&as_sdt=5,34&sciodt=0,34&hl=en",10,4/12/19,HTML,,,,,,,,15,3,3,6,5
34,"T Schunck, G Erb, A Mathis, N Jacob…",Test–retest reliability of a functional MRI anticipatory anxiety paradigm in healthy volunteers,2008,Journal of Magnetic …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmri.21237,"https://scholar.google.com/scholar?cites=10231811557862676216&as_sdt=5,34&sciodt=0,34&hl=en",11,4/12/19,,,,,,,,,34,3.09,7,5,11
